商品コード,商品名,カテゴリ名,販売価格,更新日,在庫数,在庫インポートフラグ,在庫扱いの種別
000703,あみえび山椒,水産加工品[低温解凍],326,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000704,ちりめん山椒,水産加工品[低温解凍],378,2018/12/15 02:20:11,999999207,インポート可,在庫がないと注文できない
000705,小女子佃煮（クルミ入り）,水産加工品[低温解凍],294,2018/12/15 02:20:11,999999519,インポート可,在庫がないと注文できない
000706,えび入りすり身,水産加工品[低温解凍],431,2018/12/15 02:20:11,999998871,インポート可,在庫がないと注文できない
000707,いわしたたき身,水産加工品[低温解凍],525,2018/12/15 02:20:11,999999705,インポート可,在庫がないと注文できない
000708,さんますり身,水産加工品[低温解凍],441,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000709,黒毛和牛　焼肉用カルビ,黒毛和牛,2163,2018/12/15 02:20:11,999999976,インポート可,在庫がないと注文できない
000710,黒毛和牛　焼肉用もも肉,黒毛和牛,1260,2018/12/15 02:20:11,999999958,インポート可,在庫がないと注文できない
000711,黒毛和牛　肩ロースしゃぶしゃぶ用,黒毛和牛,2016,2018/12/15 02:20:11,999999985,インポート可,在庫がないと注文できない
000712,黒毛和牛　肩ロースすき焼き用,黒毛和牛,1974,2018/12/15 02:20:11,999999978,インポート可,在庫がないと注文できない
000713,黒毛和牛　サーロインステーキ,黒毛和牛,2289,2018/12/15 02:20:11,999999979,インポート可,在庫がないと注文できない
000714,●国産　牛焼肉用カルビ,牛肉,1071,2018/12/15 02:20:11,999999910,インポート可,在庫がないと注文できない
000715,国産　牛焼肉用ロース,牛肉,1344,2018/12/15 02:20:11,999999976,インポート可,在庫がないと注文できない
000716,国産　牛肩ロースしゃぶしゃぶ用,牛肉,1239,2018/12/15 02:20:11,999999965,インポート可,在庫がないと注文できない
000717,●国産　牛肩ロースすき焼き用,牛肉,1218,2018/12/15 02:20:11,999999807,インポート可,在庫がないと注文できない
000718,●国産　牛ももしゃぶしゃぶ用,牛肉,1092,2018/12/15 02:20:11,999999944,インポート可,在庫がないと注文できない
000719,●国産　牛サーロインステーキ,牛肉,1628,2018/12/15 02:20:11,999999842,インポート可,在庫がないと注文できない
000720,国産　牛サイコロステーキ,牛肉,1050,2018/12/15 02:20:11,999999508,インポート可,在庫がないと注文できない
000721,国産　牛カレーシチュー用,牛肉,756,2018/12/15 02:20:11,999999894,インポート可,在庫がないと注文できない
000722,●国産　牛切落し,牛肉,672,2018/12/15 02:20:11,999999298,インポート可,在庫がないと注文できない
000723,国産　牛ミンチ,牛肉,578,2018/12/15 02:20:11,999999668,インポート可,在庫がないと注文できない
000724,国産　合挽きミンチ,牛肉,336,2018/12/15 02:20:11,999999435,インポート可,在庫がないと注文できない
000725,国産　牛タタキ,牛肉,935,2018/12/15 02:20:11,999999869,インポート可,在庫がないと注文できない
000726,牛焼肉味付カルビ,牛肉,630,2018/12/15 02:20:11,999999851,インポート可,在庫がないと注文できない
000727,馬刺タタキ,馬肉,1040,2018/12/15 02:20:11,999999963,インポート可,在庫がないと注文できない
000728,馬刺ロース,馬肉,620,2018/12/15 02:20:11,999999634,インポート可,在庫がないと注文できない
000729,国産　豚ヒレブロック,豚肉,868,2018/12/15 02:20:11,999999813,インポート可,在庫がないと注文できない
000730,国産　豚ロース切身,豚肉,498,2018/12/15 02:20:11,999999683,インポート可,在庫がないと注文できない
000731,国産　豚肩ローススライス,豚肉,467,2018/12/15 02:20:11,999999836,インポート可,在庫がないと注文できない
000732,国産　豚スペアリブ,豚肉,467,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000733,国産　豚バラスライス,豚肉,382,2018/12/15 02:20:11,999999695,インポート可,在庫がないと注文できない
000734,国産　豚バラしゃぶしゃぶ用,豚肉,399,2018/12/15 02:20:11,999999666,インポート可,在庫がないと注文できない
000735,国産　豚ももスライス,豚肉,378,2018/12/15 02:20:11,999999764,インポート可,在庫がないと注文できない
000736,上州ステビア　豚ロース厚切,上州ステビア豚,588,2018/12/15 02:20:11,999999666,インポート可,在庫がないと注文できない
000737,上州ステビア　豚ローススライス,上州ステビア豚,588,2018/12/15 02:20:11,999999647,インポート可,在庫がないと注文できない
000738,上州ステビア　豚ロースしゃぶしゃぶ用,上州ステビア豚,599,2018/12/15 02:20:11,999999647,インポート可,在庫がないと注文できない
